cycle,role,route,board,board_sha256,code,run_dir,log,samples,tool,identity_ok,settled_pose_ok,contacts,contacts_recorded,evidence_N_N,covered,seq_contiguous,reset_in_window,torn_trailing_line,displacement_pool_box_1_m,displacement_max_m,object_disturbance_gt_1mm,tail_target,tail_mode,tail_line,tail_verdict,droop_class,notebook_outcome,elapsed_s,compliance_waited_s,outcome
stage0,parked,LOWER_TO_REST,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,eb34238,e1_server_runs/run_20260916_052229,route_clearance_LOWER_TO_REST_20260916T052354Z.json,60,none,True,True,0,True,154/154,True,True,False,,3.94e-10,4e-10,False,HOME,start,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.0  max_spread_deg=0.2  r_gripper=-38.1 (target -45.0),PARKED_AT_HOME=NO,n/a,n/a,n/a,n/a,pass
S1a,parked,RAISE_TO_SIDE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,eb34238,e1_server_runs/run_20260916_052229,route_clearance_RAISE_TO_SIDE_20260916T052946Z.json,60,none (reset #1 before),True,True,0,True,154/154,True,True,False,,3.94e-10,3.99e-10,False,HOME,start,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.0  max_spread_deg=0.0  r_gripper=-40.1 (target -45.0),PARKED_AT_HOME=NO,n/a,n/a,n/a,n/a,pass
S1a,setup,RAISE_TO_SIDE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,eb34238,e1_server_runs/run_20260916_052229,route_clearance_RAISE_TO_SIDE_20260916T053206Z.json,1192,primitives.raise_to_side (notebook e1_stage1_S1a cell 3),True,True,0,True,2984/2984,True,True,False,,7.91e-09,7.92e-09,False,PRESENT,end,tail_samples=60 (last 3.0s)  max_gross_err_deg=2.6  max_spread_deg=0.0  r_gripper=-45.0 (target -45.0),PARKED_AT_PRESENT=yes,none (route completed; wrist residuals in tail line),returned,33.204894583,0.054612125,pass
S1a,flight,LOWER_TO_REST,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,eb34238,e1_server_runs/run_20260916_052229,route_clearance_LOWER_TO_REST_20260916T053354Z.json,748,rig_motion.from_present (cell 4),True,True,0,True,1873/1873,True,True,False,,5e-09,5.01e-09,False,REST,end,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.3  max_spread_deg=0.0  r_gripper=-45.0 (target -45.0),PARKED_AT_REST=yes,none (route completed; wrist residuals in tail line),returned,6.710386666,0.052632833,pass
S1b,parked,PLACE_ROUTE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,eb34238,e1_server_runs/run_20260916_052229,route_clearance_PLACE_ROUTE_20260916T053553Z.json,60,none (reset #2 before),True,True,0,True,154/154,True,True,False,,3.93e-10,3.96e-10,False,HOME,start,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.0  max_spread_deg=0.0  r_gripper=-0.0 (target -45.0),PARKED_AT_HOME=NO,n/a,n/a,n/a,n/a,pass
S1b,flight,PLACE_ROUTE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,eb34238,e1_server_runs/run_20260916_052229,route_clearance_PLACE_ROUTE_20260916T053749Z.json,1282,rig_motion.deploy_to_rest (notebook e1_stage1_S1b cell 3),True,True,0,True,3208/3208,True,True,False,,3.98e-09,8.41e-09,False,REST,end,tail_samples=61 (last 3.0s)  max_gross_err_deg=0.6  max_spread_deg=0.0  r_gripper=-44.7 (target -45.0),PARKED_AT_REST=yes,none (route completed; wrist residuals in tail line),returned,34.381849584,0.052278541,pass
S1c,parked,PLACE_ROUTE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,eb34238,e1_server_runs/run_20260916_052229,route_clearance_PLACE_ROUTE_20260916T053936Z.json,60,none (reset #3 before),True,True,0,True,153/153,True,True,False,,3.87e-10,3.87e-10,False,HOME,start,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.0  max_spread_deg=0.0  r_gripper=-0.0 (target -45.0),PARKED_AT_HOME=NO,n/a,n/a,n/a,n/a,pass
S1c,setup,PLACE_ROUTE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,eb34238,e1_server_runs/run_20260916_052229,route_clearance_PLACE_ROUTE_20260916T054132Z.json,1282,rig_motion.deploy_to_rest (notebook e1_stage1_S1c cell 3),True,True,0,True,3208/3208,True,True,False,,8.43e-09,8.43e-09,False,REST,end,tail_samples=61 (last 3.0s)  max_gross_err_deg=0.7  max_spread_deg=0.0  r_gripper=-44.5 (target -45.0),PARKED_AT_REST=yes,none (route completed; wrist residuals in tail line),returned,33.543881083,0.054944875,pass
S1c,flight,LIFT_TO_PRESENT,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,eb34238,e1_server_runs/run_20260916_052229,route_clearance_LIFT_TO_PRESENT_20260916T054350Z.json,682,rig_motion.to_present (cell 4),True,True,0,True,1709/1709,True,True,False,,4.55e-09,4.56e-09,False,PRESENT,end,tail_samples=60 (last 3.0s)  max_gross_err_deg=3.6  max_spread_deg=0.0  r_gripper=-45.1 (target -45.0),PARKED_AT_PRESENT=yes,none (route completed; wrist residuals in tail line),returned,3.375969167,0.05148325,pass
