stage0-B1-s1   armon   RAISE_TO_SIDE (label only)   contacts=0 disp_max=1.08e-07 gate=yes tail=STAGE0_INIT_OK=yes     sv=-          nb=returned el=0.06 pass
S2-B1-b-r5     parked  PLACE_ROUTE                  contacts=0 disp_max=1.78e-07 gate=yes tail=PARKED_AT_HOME=NO      sv=stiff-zero nb=n/a      el= pass
S2-B1-b-r5     flight  PLACE_ROUTE                  contacts=0 disp_max=5.21e-07 gate=yes tail=PARKED_AT_REST=yes     sv=-          nb=returned el=33.65 pass
S2-B1-c-r5     parked  PLACE_ROUTE                  contacts=0 disp_max=2.51e-07 gate=yes tail=PARKED_AT_HOME=NO      sv=stiff-zero nb=n/a      el= pass
S2-B1-c-r5     setup   PLACE_ROUTE                  contacts=0 disp_max=2.44e-07 gate=yes tail=PARKED_AT_REST=yes     sv=-          nb=returned el=33.64 pass
S2-B1-c-r5     flight  LIFT_TO_PRESENT              contacts=0 disp_max=4.85e-07 gate=yes tail=PARKED_AT_PRESENT=yes  sv=-          nb=returned el=3.38 pass
S2-B1-a-r6     parked  RAISE_TO_SIDE                contacts=0 disp_max=3.34e-07 gate=yes tail=PARKED_AT_HOME=NO      sv=stiff-zero nb=n/a      el= pass
S2-B1-a-r6     setup   RAISE_TO_SIDE                contacts=0 disp_max=1.01e-06 gate=yes tail=PARKED_AT_PRESENT=yes  sv=-          nb=returned el=33.85 pass
S2-B1-a-r6     flight  LOWER_TO_REST                contacts=0 disp_max=2.11e-07 gate=yes tail=PARKED_AT_REST=yes     sv=-          nb=returned el=6.71 pass
S2-B1-b-r6     parked  PLACE_ROUTE                  contacts=0 disp_max=1.83e-07 gate=yes tail=PARKED_AT_HOME=NO      sv=stiff-zero nb=n/a      el= pass
S2-B1-b-r6     flight  PLACE_ROUTE                  contacts=0 disp_max=4.87e-07 gate=yes tail=PARKED_AT_REST=yes     sv=-          nb=returned el=33.58 pass
S2-B1-c-r6     parked  PLACE_ROUTE                  contacts= disp_max= gate= tail=                       sv=-          nb=n/a      el= NOT FLOWN (session stopped)
S2-B1-c-r6     setup   PLACE_ROUTE                  contacts= disp_max= gate= tail=                       sv=-          nb=n/a      el= NOT FLOWN (session stopped)
S2-B1-c-r6     flight  LIFT_TO_PRESENT              contacts= disp_max= gate= tail=                       sv=-          nb=n/a      el= NOT FLOWN (session stopped)
rows=49 pass=46
